instance,algorithm,variant,K,N,M,time_seconds,cost,num_influencers,covered_count,success,stdout_snippet
ninstance_305.txt,fb,todos,,25,15,0.823077,179,3,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 179"
ninstance_305.txt,fb,micro,5,25,15,0.005026,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_305.txt,fb,micro,10,25,15,0.012750,515,9,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 1 3 4 5 7 8 10 11 12
Costo total: 515"
ninstance_305.txt,fb,macro,5,25,15,0.005755,179,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 179"
ninstance_305.txt,fb,macro,10,25,15,0.004805,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_305.txt,bt,todos,,25,15,0.026726,179,3,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 179"
ninstance_305.txt,bt,micro,5,25,15,0.006981,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_305.txt,bt,micro,10,25,15,0.013197,515,9,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 1 3 4 5 7 8 10 11 12
Costo total: 515"
ninstance_305.txt,bt,macro,5,25,15,0.004677,179,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 179"
ninstance_305.txt,bt,macro,10,25,15,0.004685,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_328.txt,fb,todos,,150,10,0.005207,614,2,150,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 614"
ninstance_328.txt,fb,micro,5,150,10,0.005381,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_328.txt,fb,micro,10,150,10,0.004509,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_328.txt,fb,macro,5,150,10,0.006374,614,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 614"
ninstance_328.txt,fb,macro,10,150,10,0.005577,614,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 614"
ninstance_328.txt,bt,todos,,150,10,0.005191,614,2,150,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 614"
